Origin Page,Destination Page,Link Text,Sentence Text,Wikidata Property Label,Direction
Cameroon,Nigeria,Nigeria,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P47,Forwards
Norway,United Nations,United Nations,Norway is also a founding member of the United Nations NATO the European Free Trade Association the Council of Europe the Antarctic Treaty and the Nordic Council a member of the European Economic Area the WTO and the OECD and a part of the Schengen Area,P112,Backwards
Endangered Wildlife Trust,South Africa,South African,The Endangered Wildlife Trust is a South African environmental organisation for the conservation of threatened species and ecosystems in southern Africa,P17,Forwards
North Africa,Tunisia,Tunisia,The most commonly accepted definition includes Morocco Algeria Tunisia Libya Egypt and Sudan the 6 countries that shape the top North of the African continent,P361,Backwards
Kenya,Tanzania,Tanzania,Kenya is bordered by South Sudan to the northwest Ethiopia to the north Somalia to the east Uganda to the west Tanzania to the south and the Indian Ocean to the southeast,P530,Forwards
United Nations Statistics Division,United Nations Department of Economic and Social Affairs,United Nations Department of Economic and Social Affairs,The United Nations Statistics Division UNSD formerly the United Nations Statistical Office serves under the United Nations Department of Economic and Social Affairs DESA as the central mechanism within the Secretariat of the United Nations to supply the statistical needs and coordinating activities of the global statistical system,P361,Forwards
Poland,European Union,European Union,It has the sixth largest economy in the European Union by nominal GDP and the fifth largest by GDP PPP,P463,Forwards
United States,New York City,New York City,The national capital is Washington DC and the most populous city is New York City,P17,Backwards
Winnie MpanjuShumbusho,World Health Organization,World Health Organization,Winnie MpanjuShumbusho is a Tanzanianborn paediatrician and public health leader who until December 31 2015 served as World Health Organization WHO Assistant Director General for HIVAIDS Tuberculosis Malaria and Neglected Tropical Diseases based in Geneva Switzerland,P108,Forwards
Forest Stewardship Council,Forest management,management,The Forest Stewardship Council FSC is an international nonprofit multistakeholder organization established in 1993 that promotes responsible management of the worlds forests,P452,Forwards
GNU,Richard Stallman,Richard Stallman,Richard Stallman the founder of the project views GNU as a technical means to a social end,P800,Backwards
Madagascar dry deciduous forests,Madagascar,Madagascar,The Madagascar dry deciduous forests  represent a tropical dry forest ecoregion situated in the western and northern part of Madagascar,P17,Forwards
Syngenta,Pesticide,Pesticides,Pesticides,P1056,Forwards
Menai Bay Conservation Area,Protected area,protected area,At 470 square kilometres 180160sq160mi it is Zanzibars largest marine protected area,P31,Forwards
Czech Republic,United States,United States,It ranks 12th in the UN inequalityadjusted human development and 14th in the World Bank Human Capital Index ahead of countries such as the United States the United Kingdom and France,P530,Backwards
World Health Organization,United Nations Economic and Social Council,United Nations Economic and Social Council,World Health OrganizationAbbreviationWHOPronunciationˌdʌbəljuːˌeɪtʃˈoʊ by WHO itself and the governments that work with it huː is an oftenheard spelling pronunciationx20Formation7160April 1948593273 years ago16019480407TypeUnited Nations specialized agencyLegal statusActiveHeadquartersGeneva SwitzerlandHeadTedros AdhanomDirectorGeneralParent organizationUnited Nations Economic and Social CouncilBudget  796 billion 2020–2021Websitewwwwhoint160Medicine32portal160Politics32portal,P749,Forwards
MIKTA,South Korea,South Korea,MIKTA is an informal middle power partnership between Mexico Indonesia South Korea Turkey and Australia,P527,Forwards
Coordinating Ministry for Human Development and Cultural Affairs,Indonesia,Indonesian,Coordinating Ministry for Human Development and Cultural Affairs is an Indonesian coordinating ministry,P17,Forwards
Lousewies van der Laan,Democrats 66,Democrats 66,Louse Wies Sija Anne Lilly Berthe Lousewies van der Laan born 18 February 1966 is a retired Dutch politician of the Democrats 66 D66 party and jurist,P102,Forwards
Laurens Jan Brinkhorst,Democrats 66,Democrats 66,Laurens Jan Brinkhorst born 18 March 1937 is a retired Dutch politician and diplomat of the Democrats 66 D66 party and jurist,P102,Forwards
Roman Empire,Latin,Latin,The Latin language of the Romans evolved into the Romance languages of the medieval and modern world while Medieval Greek became the language of the Eastern Roman Empire,P37,Forwards
AMA Supercross Championship,United States,American,The AMA Supercross Championship is an American motorcycle racing series,P17,Forwards
Agricultural and Forest Meteorology,Meteorology,meteorology,Agricultural and Forest Meteorology is a peerreviewed scientific journal covering research on the relationships between meteorology and the fields of plant animal and soil sciences ecology and biogeochemistry,P921,Forwards
Sweden,Norway,Norway,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P47,Forwards
China,Macau,Macau,The country is officially divided into 23 provinces91l93 five autonomous regions four directcontrolled municipalities Beijing Tianjin Shanghai and Chongqing and two special administrative regions of Hong Kong and Macau,P361,Backwards
Rockefeller Foundation,New York City,New York City,The Rockefeller Foundation is an American private foundation based at 420 Fifth Avenue New York City,P159,Forwards
Knersvlakte,South Africa,South Africa,The Knersvlakte is a region of hilly terrain covered with quartz gravel in Namaqualand in the northwest corner of the Western Cape Province of South Africa,P17,Forwards
Gambia River,Senegal,Senegal,The Gambia River formerly known as the River Gambra is a major river in West Africa running 1120 kilometres 700160mi from the Fouta Djallon plateau in north Guinea westward through Senegal and The Gambia to the Atlantic Ocean at the city of Banjul,P17,Forwards
Sustainable fishery,Sustainability,Sustainability,Sustainability in fisheries combines theoretical disciplines such as the population dynamics of fisheries with practical strategies such as avoiding overfishing through techniques such as individual fishing quotas curtailing destructive and illegal fishing practices by lobbying for appropriate law and policy setting up protected areas restoring collapsed fisheries incorporating all externalities involved in harvesting marine ecosystems into fishery economics educating stakeholders and the wider public and developing independent certification programs,P1552,Forwards
Government of India,India,India,The seat of the Government is located in New Delhi the capital of India,P1001,Forwards
GreenPalm,Palm oil,palm oil,GreenPalm is a certificatetrading program for sustainably produced palm oil,P452,Forwards
Pete Oxford,Royal Geographical Society,Royal Geographical Society,In 1992 he became a Fellow of the Royal Geographical Society,P463,Forwards
Benxi,Liaoning,Liaoning,Benxi Chinese58 本溪 pinyin58 Běnxī is a prefecturelevel city located in the east of Liaoning province Peoples Republic of China southsoutheast of the provincial capital Shenyang,P150,Backwards
Indonesia,Jakarta,Jakarta,    Motto160Bhinneka Tunggal Ika Old JavaneseEnglish Unity in DiversityNational ideology PancasilaAnthem160Indonesia RayaEnglish Great IndonesiaCapitaland largest cityJakarta6°10′S 106°49′Exfeff  xfeff6167°S 106817°Exfeff  6167 106817Official language mwparseroutput noboldfontweightnormaland national languageIndonesianRegional languagesOver 700 languagesEthnic160groups Over 1300 ethnic groupsReligion  20188670 Islam1072 Christianity174 Hinduism084 OtherDemonymsIndonesianGovernmentUnitary presidential constitutional republic•160President Joko Widodo•160Vice President Maruf Amin•160House Speaker Puan Maharani•160Chief Justice Muhammad Syarifuddin,P1376,Backwards
Wang Jie composer,Shanghai,Shanghai,Wang Jie was born and raised in Shanghai,P19,Forwards
Human ecology,Ecology,ecology,The philosophy and study of human ecology has a diffuse history with advancements in ecology geography sociology psychology anthropology zoology epidemiology public health and home economics among others,P527,Backwards
Nanda Devi,India,India,Nanda Devi is the second highest mountain in India after Kangchenjunga and the highest located entirely within the country,P17,Forwards
Lakshmi Puri,United Nations,United Nations,Lakshmi Puri born 1952 is a former Assistant SecretaryGeneral at the United Nations and the former Deputy Executive Director of UN Women,P108,Forwards
Ecological economics,Environmental economics,environmental economics,By treating the economy as a subsystem of Earths larger ecosystem and by emphasizing the preservation of natural capital the field of ecological economics is differentiated from environmental economics which is the mainstream economic analysis of the environment,P1889,Backwards
Myanmar,Bangladesh,Bangladesh,Myanmar is bordered by Bangladesh and India to its northwest China to its northeast Laos and Thailand to its east and southeast and the Andaman Sea and the Bay of Bengal to its south and southwest,P530,Backwards
Sustainable Development Goal 7,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 7 SDG 7 or Global Goal 7 is one of 17 Sustainable Development Goals established by the United Nations General Assembly in 2015,P527,Backwards
Estonia,European Union,European Union,It has a population of 13160million and is one of the least populous members of the European Union the Eurozone the OECD the Schengen Area NATO and the United Nations Security Council,P527,Backwards
Sweden,Norway,Norway,It borders Norway to the west and north Finland to the east and is connected to Denmark in the southwest by a bridgetunnel across the Öresund Strait,P530,Forwards
Muntinlupa,Metro Manila,National Capital Region,Muntinlupa officially the City of Muntinlupa Tagalog Lungsod ng Muntinlupa is a 1st class highly urbanized city in the National Capital Region of the Philippines,P131,Forwards
British Columbia,Victoria British Columbia,City of Victoria,The first British settlement in the area was Fort Victoria established in 1843 which gave rise to the City of Victoria at first the capital of the separate Colony of Vancouver Island,P1376,Backwards
Sustainable Development Goal 15,Sustainable Development Goals,Sustainable Development Goals,Sustainable Development Goal 15 SDG 15 or Global Goal 15 is about Life on land One of the 17 Sustainable Development Goals established by the United Nations in 2015 the official wording is Protect restore and promote sustainable use of terrestrial ecosystems sustainably manage forests combat desertification and halt and reverse land degradation and halt biodiversity loss,P361,Forwards
Ocean,Oceanography,oceanographers,The world ocean contains 97 of Earths water and oceanographers have stated that less than 20 of the oceans have been mapped,P2579,Forwards
Cameroon,Nigeria,Nigeria,It is bordered by Nigeria to the west and north Chad to the northeast the Central African Republic to the east and Equatorial Guinea Gabon and the Republic of the Congo to the south,P530,Forwards
Modul University Vienna,Austria,Austria,Modul University Vienna short MU Vienna is a private university established in 2007 in Vienna Austria focusing on social and economic development particularly in the areas of tourism new media information technology sustainability business management and public governance,P17,Forwards
Indonesia,Borneo,Borneo,It consists of over seventeen thousand islands including Sumatra Java Sulawesi and parts of Borneo and New Guinea,P17,Backwards
Philippines,Metro Manila,Metro Manila,Manila is the nations capital while the largest city is Quezon City both lying within the urban area of Metro Manila,P150,Forwards
